Month,Year,Unemplyment
3,2018,4.1
2,2018,4.1
1,2018,4.1
12,2017,4.1
11,2017,4.1
10,2017,4.1
9,2017,4.2
8,2017,4.4
7,2017,4.3
6,2017,4.3
5,2017,4.3
4,2017,4.4
3,2017,4.5
2,2017,4.7
1,2017,4.8
12,2016,4.7
11,2016,4.6
10,2016,4.9
9,2016,5
8,2016,4.9
7,2016,4.9
6,2016,4.9
5,2016,4.7
4,2016,5
3,2016,5
2,2016,4.9
1,2016,4.9
12,2015,5
11,2015,5
10,2015,5
9,2015,5
8,2015,5.1
7,2015,5.2
6,2015,5.3
5,2015,5.5
4,2015,5.4
3,2015,5.5
2,2015,5.5
1,2015,5.7
12,2014,5.6
11,2014,5.8
10,2014,5.7
9,2014,5.9
8,2014,6.2
7,2014,6.2
6,2014,6.1
5,2014,6.3
4,2014,6.3
3,2014,6.7
2,2014,6.7
1,2014,6.6
12,2013,6.7
11,2013,6.9
10,2013,7.2
9,2013,7.2
8,2013,7.2
7,2013,7.3
6,2013,7.5
5,2013,7.5
4,2013,7.6
3,2013,7.5
2,2013,7.7
1,2013,8
12,2012,7.9
11,2012,7.7
10,2012,7.8
9,2012,7.8
8,2012,8.1
7,2012,8.2
6,2012,8.2
5,2012,8.2
4,2012,8.2
3,2012,8.2
2,2012,8.3
1,2012,8.3
12,2011,8.5
11,2011,8.6
10,2011,8.8
9,2011,9
8,2011,9
7,2011,9
6,2011,9.1
5,2011,9
4,2011,9.1
3,2011,9
2,2011,9
1,2011,9.1
12,2010,9.3
11,2010,9.8
10,2010,9.4
9,2010,9.5
8,2010,9.5
7,2010,9.4
6,2010,9.4
5,2010,9.6
4,2010,9.9
3,2010,9.9
2,2010,9.8
1,2010,9.8
12,2009,9.9
11,2009,9.9
10,2009,10
9,2009,9.8
8,2009,9.6
7,2009,9.5
6,2009,9.5
5,2009,9.4
4,2009,9
3,2009,8.7
2,2009,8.3
1,2009,7.8
12,2008,7.3
11,2008,6.8
10,2008,6.5
9,2008,6.1
8,2008,6.1
7,2008,5.8
6,2008,5.6
5,2008,5.4
4,2008,5
3,2008,5.1
2,2008,4.9
1,2008,5
12,2007,5
11,2007,4.7
10,2007,4.7
9,2007,4.7
8,2007,4.6
7,2007,4.7
6,2007,4.6
5,2007,4.4
4,2007,4.5
3,2007,4.4
2,2007,4.5
1,2007,4.6
12,2006,4.4
11,2006,4.5
10,2006,4.4
9,2006,4.5
8,2006,4.7
7,2006,4.7
6,2006,4.6
5,2006,4.6
4,2006,4.7
3,2006,4.7
2,2006,4.8
1,2006,4.7
12,2005,4.9
11,2005,5
10,2005,5
9,2005,5
8,2005,4.9
7,2005,5
6,2005,5
5,2005,5.1
4,2005,5.2
3,2005,5.2
2,2005,5.4
1,2005,5.3
12,2004,5.4
11,2004,5.4
10,2004,5.5
9,2004,5.4
8,2004,5.4
7,2004,5.5
6,2004,5.6
5,2004,5.6
4,2004,5.6
3,2004,5.8
2,2004,5.6
1,2004,5.7
12,2003,5.7
11,2003,5.8
10,2003,6
9,2003,6.1
8,2003,6.1
7,2003,6.2
6,2003,6.3
5,2003,6.1
4,2003,6
3,2003,5.9
2,2003,5.9
1,2003,5.8
12,2002,6
11,2002,5.9
10,2002,5.7
9,2002,5.7
8,2002,5.7
7,2002,5.8
6,2002,5.8
5,2002,5.8
4,2002,5.9
3,2002,5.7
2,2002,5.7
1,2002,5.7
12,2001,5.7
11,2001,5.5
10,2001,5.3
9,2001,5
8,2001,4.9
7,2001,4.6
6,2001,4.5
5,2001,4.3
4,2001,4.4
3,2001,4.3
2,2001,4.2
1,2001,4.2
12,2000,3.9
11,2000,3.9
10,2000,3.9
9,2000,3.9
8,2000,4.1
7,2000,4
6,2000,4
5,2000,4
4,2000,3.8
3,2000,4
2,2000,4.1
1,2000,4
12,1999,4
11,1999,4.1
10,1999,4.1
9,1999,4.2
8,1999,4.2
7,1999,4.3
6,1999,4.3
5,1999,4.2
4,1999,4.3
3,1999,4.2
2,1999,4.4
1,1999,4.3
12,1998,4.4
11,1998,4.4
10,1998,4.5
9,1998,4.6
8,1998,4.5
7,1998,4.5
6,1998,4.5
5,1998,4.4
4,1998,4.3
3,1998,4.7
2,1998,4.6
1,1998,4.6
12,1997,4.7
11,1997,4.6
10,1997,4.7
9,1997,4.9
8,1997,4.8
7,1997,4.9
6,1997,5
5,1997,4.9
4,1997,5.1
3,1997,5.2
2,1997,5.2
1,1997,5.3
12,1996,5.4
11,1996,5.4
10,1996,5.2
9,1996,5.2
8,1996,5.1
7,1996,5.5
6,1996,5.3
5,1996,5.6
4,1996,5.6
3,1996,5.5
2,1996,5.5
1,1996,5.6
12,1995,5.6
11,1995,5.6
10,1995,5.5
9,1995,5.6
8,1995,5.7
7,1995,5.7
6,1995,5.6
5,1995,5.6
4,1995,5.8
3,1995,5.4
2,1995,5.4
1,1995,5.6
12,1994,5.5
11,1994,5.6
10,1994,5.8
9,1994,5.9
8,1994,6
7,1994,6.1
6,1994,6.1
5,1994,6.1
4,1994,6.4
3,1994,6.5
2,1994,6.6
1,1994,6.6
12,1993,6.5
11,1993,6.6
10,1993,6.8
9,1993,6.7
8,1993,6.8
7,1993,6.9
6,1993,7
5,1993,7.1
4,1993,7.1
3,1993,7
2,1993,7.1
1,1993,7.3
12,1992,7.4
11,1992,7.4
10,1992,7.3
9,1992,7.6
8,1992,7.6
7,1992,7.7
6,1992,7.8
5,1992,7.6
4,1992,7.4
3,1992,7.4
2,1992,7.4
1,1992,7.3
12,1991,7.3
11,1991,7
10,1991,7
9,1991,6.9
8,1991,6.9
7,1991,6.8
6,1991,6.9
5,1991,6.9
4,1991,6.7
3,1991,6.8
2,1991,6.6
1,1991,6.4
12,1990,6.3
11,1990,6.2
10,1990,5.9
9,1990,5.9
8,1990,5.7
7,1990,5.5
6,1990,5.2
5,1990,5.4
4,1990,5.4
3,1990,5.2
2,1990,5.3
1,1990,5.4
12,1989,5.4
11,1989,5.4
10,1989,5.3
9,1989,5.3
8,1989,5.2
7,1989,5.2
6,1989,5.3
5,1989,5.2
4,1989,5.2
3,1989,5
2,1989,5.2
1,1989,5.4
12,1988,5.3
11,1988,5.3
10,1988,5.4
9,1988,5.4
8,1988,5.6
7,1988,5.4
6,1988,5.4
5,1988,5.6
4,1988,5.4
3,1988,5.7
2,1988,5.7
1,1988,5.7
12,1987,5.7
11,1987,5.8
10,1987,6
9,1987,5.9
8,1987,6
7,1987,6.1
6,1987,6.2
5,1987,6.3
4,1987,6.3
3,1987,6.6
2,1987,6.6
1,1987,6.6
12,1986,6.6
11,1986,6.9
10,1986,7
9,1986,7
8,1986,6.9
7,1986,7
6,1986,7.2
5,1986,7.2
4,1986,7.1
3,1986,7.2
2,1986,7.2
1,1986,6.7
12,1985,7
11,1985,7
10,1985,7.1
9,1985,7.1
8,1985,7.1
7,1985,7.4
6,1985,7.4
5,1985,7.2
4,1985,7.3
3,1985,7.2
2,1985,7.2
1,1985,7.3
12,1984,7.3
11,1984,7.2
10,1984,7.4
9,1984,7.3
8,1984,7.5
7,1984,7.5
6,1984,7.2
5,1984,7.4
4,1984,7.7
3,1984,7.8
2,1984,7.8
1,1984,8
12,1983,8.3
11,1983,8.5
10,1983,8.8
9,1983,9.2
8,1983,9.5
7,1983,9.4
6,1983,10.1
5,1983,10.1
4,1983,10.2
3,1983,10.3
2,1983,10.4
1,1983,10.4
12,1982,10.8
11,1982,10.8
10,1982,10.4
9,1982,10.1
8,1982,9.8
7,1982,9.8
6,1982,9.6
5,1982,9.4
4,1982,9.3
3,1982,9
2,1982,8.9
1,1982,8.6
12,1981,8.5
11,1981,8.3
10,1981,7.9
9,1981,7.6
8,1981,7.4
7,1981,7.2
6,1981,7.5
5,1981,7.5
4,1981,7.2
3,1981,7.4
2,1981,7.4
1,1981,7.5
12,1980,7.2
11,1980,7.5
10,1980,7.5
9,1980,7.5
8,1980,7.7
7,1980,7.8
6,1980,7.6
5,1980,7.5
4,1980,6.9
3,1980,6.3
2,1980,6.3
1,1980,6.3
12,1979,6
11,1979,5.9
10,1979,6
9,1979,5.9
8,1979,6
7,1979,5.7
6,1979,5.7
5,1979,5.6
4,1979,5.8
3,1979,5.8
2,1979,5.9
1,1979,5.9
12,1978,6
11,1978,5.9
10,1978,5.8
9,1978,6
8,1978,5.9
7,1978,6.2
6,1978,5.9
5,1978,6
4,1978,6.1
3,1978,6.3
2,1978,6.3
1,1978,6.4
